date,gold_24k_gram1,gold_22k_gram1,platinum_gram1,platinum_gram8
02-01-06,768,711,,
03-01-06,770,713,,
04-01-06,784,726,,
05-01-06,782,725,,
06-01-06,776,719,,
07-01-06,787,729,,
09-01-06,790,732,,
10-01-06,791,732,,
11-01-06,788,730,,
12-01-06,789,731,,
13-01-06,790,732,,
16-01-06,802,743,,
17-01-06,812,752,,
18-01-06,799,740,,
19-01-06,803,744,,
20-01-06,810,750,,
21-01-06,808,749,,
23-01-06,808,749,,
24-01-06,809,750,,
25-01-06,812,752,,
27-01-06,814,754,,
28-01-06,813,753,,
30-01-06,815,755,,
31-01-06,821,761,,
01-02-06,819,758,,
02-02-06,824,763,,
03-02-06,829,768,,
04-02-06,828,767,,
06-02-06,830,769,,
07-02-06,830,769,,
08-02-06,803,744,,
09-02-06,815,755,,
10-02-06,814,754,,
11-02-06,804,745,,
13-02-06,798,739,,
14-02-06,788,730,,
15-02-06,797,738,,
16-02-06,789,731,,
17-02-06,796,738,,
18-02-06,805,746,,
20-02-06,806,746,,
21-02-06,805,746,,
22-02-06,807,747,,
23-02-06,807,748,,
24-02-06,805,746,,
25-02-06,814,754,,
27-02-06,813,753,,
28-02-06,813,753,,
01-03-06,819,758,,
02-03-06,818,757,,
03-03-06,824,763,,
04-03-06,824,763,,
06-03-06,825,764,,
07-03-06,814,754,,
08-03-06,807,748,,
09-03-06,802,743,,
10-03-06,802,743,,
11-03-06,795,736,,
13-03-06,798,739,,
14-03-06,799,740,,
15-03-06,808,748,,
16-03-06,807,747,,
17-03-06,808,749,,
18-03-06,809,750,,
20-03-06,811,751,,
21-03-06,808,748,,
22-03-06,808,748,,
23-03-06,806,747,,
24-03-06,806,747,,
25-03-06,817,757,,
27-03-06,820,760,,
28-03-06,826,765,,
29-03-06,822,761,,
30-03-06,838,776,,
31-03-06,848,785,,
01-04-06,842,780,,
03-04-06,847,784,,
04-04-06,852,789,,
05-04-06,852,789,,
06-04-06,866,802,,
07-04-06,874,809,,
08-04-06,869,805,,
10-04-06,878,813,,
12-04-06,886,820,,
13-04-06,889,823,,
15-04-06,899,833,,
17-04-06,903,836,,
18-04-06,922,854,,
19-04-06,931,862,,
20-04-06,958,887,,
21-04-06,922,854,,
22-04-06,945,876,,
24-04-06,942,872,,
25-04-06,932,863,,
26-04-06,940,870,,
27-04-06,947,877,,
28-04-06,945,876,,
29-04-06,968,897,,
02-05-06,993,900,,
04-05-06,983,911,,
06-05-06,1006,932,,
09-05-06,1006,932,,
10-05-06,1037,961,,
11-05-06,1049,971,,
12-05-06,1073,994,,
13-05-06,1061,983,,
15-05-06,1044,967,,
16-05-06,1022,946,,
17-05-06,1062,984,,
18-05-06,1031,955,,
19-05-06,1027,951,,
20-05-06,991,918,,
22-05-06,968,896,,
23-05-06,980,907,,
24-05-06,993,920,,
25-05-06,973,901,,
26-05-06,978,906,,
27-05-06,978,906,,
29-05-06,979,907,,
30-05-06,986,913,,
31-05-06,989,916,,
01-06-06,967,895,,
02-06-06,959,887,,
03-06-06,962,891,,
05-06-06,969,897,,
06-06-06,959,888,,
07-06-06,943,873,,
08-06-06,943,873,,
09-06-06,922,854,,
10-06-06,921,853,,
12-06-06,918,850,,
13-06-06,900,833,,
14-06-06,857,794,,
15-06-06,865,801,,
16-06-06,882,817,,
17-06-06,880,815,,
19-06-06,867,803,,
20-06-06,864,800,,
21-06-06,877,812,,
22-06-06,895,829,,
23-06-06,889,823,,
24-06-06,887,821,,
26-06-06,890,824,,
27-06-06,897,831,,
28-06-06,892,826,,
29-06-06,890,824,,
30-06-06,912,845,,
01-07-06,932,863,,
03-07-06,940,870,,
04-07-06,942,873,,
05-07-06,952,882,,
06-07-06,950,880,,
07-07-06,955,885,,
08-07-06,958,887,,
10-07-06,951,881,,
11-07-06,954,886,,
12-07-06,975,903,,
13-07-06,988,915,,
14-07-06,1008,934,,
15-07-06,1014,939,,
17-07-06,1030,954,,
18-07-06,999,926,,
19-07-06,969,897,,
20-07-06,984,911,,
21-07-06,967,895,,
22-07-06,958,888,,
24-07-06,955,884,,
26-07-06,953,883,,
27-07-06,967,896,,
28-07-06,969,898,,
29-07-06,973,901,,
31-07-06,976,904,,
01-08-06,973,901,,
02-08-06,990,917,,
03-08-06,996,923,,
04-08-06,990,917,,
05-08-06,991,918,,
07-08-06,994,921,,
08-08-06,991,918,,
09-08-06,981,909,,
10-08-06,992,919,,
11-08-06,984,911,,
12-08-06,973,901,,
14-08-06,967,895,,
16-08-06,963,892,,
17-08-06,967,896,,
18-08-06,944,874,,
19-08-06,943,874,,
21-08-06,953,882,,
22-08-06,963,892,,
23-08-06,958,888,,
24-08-06,957,887,,
25-08-06,957,886,,
26-08-06,958,887,,
28-08-06,956,886,,
29-08-06,949,879,,
30-08-06,945,876,,
31-08-06,953,883,,
01-09-06,960,889,,
02-09-06,959,888,,
04-09-06,957,887,,
05-09-06,959,888,,
06-09-06,967,896,,
07-09-06,963,892,,
08-09-06,938,869,,
09-09-06,932,863,,
11-09-06,911,844,,
12-09-06,912,845,,
13-09-06,889,823,,
14-09-06,903,836,,
15-09-06,881,816,,
16-09-06,884,819,,
18-09-06,886,820,,
19-09-06,891,826,,
20-09-06,875,811,,
21-09-06,880,815,,
22-09-06,894,828,,
23-09-06,892,826,,
25-09-06,891,826,,
26-09-06,898,832,,
27-09-06,904,837,,
28-09-06,913,845,,
29-09-06,913,846,,
30-09-06,908,841,,
03-10-06,897,831,,
04-10-06,871,807,,
05-10-06,855,792,,
06-10-06,863,799,,
07-10-06,868,804,,
09-10-06,875,810,,
10-10-06,876,811,,
11-10-06,865,801,,
12-10-06,867,803,,
14-10-06,886,821,,
16-10-06,889,823,,
17-10-06,893,827,,
18-10-06,889,824,,
19-10-06,880,815,,
20-10-06,897,831,,
23-10-06,883,818,,
24-10-06,871,807,,
25-10-06,873,808,,
26-10-06,886,820,,
27-10-06,886,821,,
28-10-06,895,829,,
30-10-06,900,834,,
31-10-06,892,826,,
01-11-06,902,835,,
02-11-06,913,845,,
03-11-06,922,854,,
04-11-06,927,859,,
07-11-06,924,856,,
08-11-06,923,855,,
09-11-06,910,843,,
10-11-06,929,860,,
11-11-06,925,857,,
13-11-06,929,860,,
14-11-06,925,857,,
